"congruent","incongruent","negative","neutral","positive"
770.294736842105,950.41095890411,688.177419354839,724.693548387097,864.903225806452
503.505494505494,580.053191489362,489.2,485.83606557377,486.393442622951
912.297619047619,1102.98275862069,1118.8431372549,1103.77777777778,1068.12244897959
850.625,1028.05747126437,957.754385964912,892.827586206897,975.5
822.161290322581,931.827956989247,683.709677419355,692.359375,657.484375
NA,NA,NA,NA,NA
849.58947368421,1053.52272727273,746.983870967742,748,757.587301587302
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
634.010101010101,721.246753246753,601.85,596.37037037037,690.491803278689
1096.75531914894,1263.39583333333,963.109375,930.983870967742,976.40625
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
638.945652173913,799.438775510204,584.516129032258,603.868852459016,574.047619047619
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1101.62626262626,1441.22972972973,1046.3064516129,963.47619047619,947.745762711864
705.735632183908,922.278846153846,708.285714285714,652.265625,709.492063492063
922,1195.73863636364,952.822580645161,964.40625,962.25
NA,NA,NA,NA,NA
1193.13636363636,1512.24096385542,905.78125,919.790322580645,962.781818181818
550.739130434783,683.454545454545,496.152542372881,484.31746031746,524.032258064516
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
760.688172043011,839.086419753086,699.606557377049,630.548387096774,707.741935483871
774.031914893617,892.208333333333,783.174603174603,863.238095238095,765.71875
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
760.238636363636,965.6625,658.448275862069,782.759259259259,765.189655172414
637.677419354839,750.916666666667,708.781818181818,646.795918367347,721.344827586207
NA,NA,NA,NA,NA
1029.38144329897,1372.52808988764,941.109375,981,980.578125
NA,NA,NA,NA,NA
789.278350515464,988.86170212766,905.0625,870.65625,914.0625
NA,NA,NA,NA,NA
713.365591397849,911.384615384615,747.875,798.28125,794.338709677419
875.727272727273,1039.89247311828,790.15625,771.40625,758.96875
829.024390243902,918.5,835.847457627119,775.896551724138,971.689655172414
NA,NA,NA,NA,NA
927.663157894737,1063.55056179775,865,771.983870967742,879.390625
NA,NA,NA,NA,NA
865.659340659341,1170.55555555556,904.016666666667,902.810344827586,743.725806451613
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
736.530612244898,876.373626373626,717.484375,681.774193548387,683.34375
592.642105263158,730.311827956989,662.174603174603,631.758064516129,626.809523809524
746.445652173913,517,641.55,683.590163934426,775.203389830509
NA,NA,NA,NA,NA
791.606382978723,999.989361702128,722.31746031746,718.047619047619,718.936507936508
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
657.534090909091,834.020202020202,693.05,678.566666666667,693.64406779661
673.574468085106,867.56976744186,743.047619047619,822.095238095238,806.131147540984
807.24,973.177777777778,692.306451612903,658.016129032258,638.016129032258
NA,NA,NA,NA,NA
933.712765957447,1008.3,895.813559322034,906.593220338983,798.741379310345
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
802.078651685393,904.184210526316,789.732142857143,696.072727272727,773.5
NA,NA,NA,NA,NA
818.325842696629,997.329896907216,738.609375,778.366666666667,699.0625
893.021978021978,1143.06818181818,910.131147540984,863.366666666667,881.842105263158
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
633.448979591837,786.833333333333,647.409836065574,687.266666666667,725.619047619048
882.722222222222,1119,838.875,803.492063492063,774.625
NA,NA,NA,NA,NA
680.215053763441,745.511363636364,633.266666666667,681.1,722.333333333333
NA,NA,NA,NA,NA
679.059405940594,853.923076923077,672.59375,634.640625,623.359375
NA,NA,NA,NA,NA
718.032967032967,789.876288659794,766.403225806452,769.460317460317,746.193548387097
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
597.936170212766,805.369565217391,686.573770491803,663.483870967742,696.254237288136
NA,NA,NA,NA,NA
746.288888888889,811.356435643564,757.083333333333,807.78125,708.328125
895.039603960396,1106.575,1242.26530612245,1216.26315789474,1323.825
705.230769230769,824.104651162791,801.245901639344,760.436363636364,751.416666666667
694.94,780.10843373494,690,709.266666666667,591.693548387097
NA,NA,NA,NA,NA
